,text_surronding,Gender
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26671,", un jour qu' elle la vit venir de loin",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26680,"loin , je vais bien l' attraper . » Elle",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26684,bien l' attraper . » Elle pose sa poupée sur,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26686,attraper . » Elle pose sa poupée sur un banc,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26694,"un banc vide , et se cache tout à côté",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26703,côté derrière un arbre . Fifine s' avance ; la,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26711,"; la première chose qui lui saute aux yeux ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26722,est la poupée abandonnée . Elle regarde aux alentours et,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26728,regarde aux alentours et ne voit personne . Une poupée,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26746,"réclamer , quel bonheur ! Elle s' approche timidement ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26751,"Elle s' approche timidement , elle se hasarde à la",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26755,", elle se hasarde à la prendre : « Je",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26759,à la prendre : « Je vais aller demander partout,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26769,"si on sait à qui elle appartient , pense -",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26775,"appartient , pense - t - elle ; ah !",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26781,elle ; ah ! si elle n' était à personne,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26796,"Et , en attendant , elle ne résiste pas au",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26803,résiste pas au désir de l' embrasser . Mais Olga,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26818,"cachette , s' élance sur elle : « Halte -",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26825,« Halte - là ! elle est à moi cette,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26829,! elle est à moi cette poupée ! » crie,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26839,- t - elle en la lui arrachant . La,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26840,t - elle en la lui arrachant . La pauvre,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26843,"en la lui arrachant . La pauvre Fifine , effrayée",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26851,", effrayée , laisse tomber son panier et s' appuie",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26854,laisse tomber son panier et s' appuie au dossier du,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26873,Qu' est - ce que c' est donc ? fit,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26890,", est - ce que cette petite voulait emporter votre",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26894,que cette petite voulait emporter votre poupée ? — Oh,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26902,"— Oh ! non , mademoiselle , s' écria Fifine",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26906,", mademoiselle , s' écria Fifine , je ne voulais",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26908,", s' écria Fifine , je ne voulais pas l'",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26912,", je ne voulais pas l' emporter , je voulais",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26915,"voulais pas l' emporter , je voulais demander à qui",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26920,je voulais demander à qui elle était . Oh !,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26927,". Oh ! non , je ne suis pas une",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26935,"pas une voleuse ! » Elle fondait en larmes ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26948,"fâchée peut - être de sa mauvaise action , mais",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26963,", ne disait rien pour la disculper . Les enfants",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26989,"occasionnait cette scène , lorsque Kitty survint avec l' ex",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26992,", lorsque Kitty survint avec l' ex - Reine des",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_26999,- Reine des fées . Elle traverse le groupe et,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27007,"groupe et , voyant pleurer sa petite amie , commence",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27011,"pleurer sa petite amie , commence par lui essuyer les",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27013,"petite amie , commence par lui essuyer les yeux ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27019,"essuyer les yeux , par la bien embrasser , puis",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27024,"la bien embrasser , puis elle demande ce qu' il",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27033,"il y a , et Fifine raconte naïvement ce qui",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27055,", moi j' ai vu la petite demoiselle mettre la",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27059,vu la petite demoiselle mettre la poupée sur le banc,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27088,"— Fi ! s' écria Kitty , fi ! Olga",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27092,"écria Kitty , fi ! Olga , attraper cette pauvre",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27095,"fi ! Olga , attraper cette pauvre petite et l'",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27099,attraper cette pauvre petite et l' exposer encore à passer,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27108,passer pour une voleuse ! Apprends que c' est fini,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27114,que c' est fini de mon amitié . Je ne,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27117,fini de mon amitié . Je ne te parlerai plus,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27119,mon amitié . Je ne te parlerai plus de ma,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27123,ne te parlerai plus de ma vie . Mais console,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27128,"ma vie . Mais console - toi , Fifine ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27131,"Mais console - toi , Fifine , on t' estime",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27134,"toi , Fifine , on t' estime parce que tu",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27138,on t' estime parce que tu es une honnête petite,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27140,estime parce que tu es une honnête petite fille .,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27150,Il y a longtemps que je voulais te donner une,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27152,a longtemps que je voulais te donner une poupée ;,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27157,te donner une poupée ; je ne l' ai pas,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27165,ai pas fait parce que je suis une oublieuse .,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27176,"bien , tiens , prends Éva ; mais il faut",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27185,faut qu' on sache qu' elle est bien à toi,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27189,qu' elle est bien à toi . » Elle déchira,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27192,bien à toi . » Elle déchira un feuillet de,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27197,Elle déchira un feuillet de son carnet d' ivoire et,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27202,son carnet d' ivoire et écrivit avec le petit crayon,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27210,petit crayon d' or qu' elle portait à sa chaîne,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27213,or qu' elle portait à sa chaîne de montre :,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27219,"chaîne de montre : « Moi , Kitty Campbell ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27221,"montre : « Moi , Kitty Campbell , je donne",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27224,"Moi , Kitty Campbell , je donne ma poupée Éva",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27226,"Kitty Campbell , je donne ma poupée Éva à Fifine",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27230,"donne ma poupée Éva à Fifine , la petite bouquetière",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27232,"poupée Éva à Fifine , la petite bouquetière des Tuileries",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27239,"bouquetière des Tuileries . » Elle mit la date ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27259,"datés sont sans valeur , attacha le papier au corsage",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27265,"le papier au corsage d' Éva , et posa la",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27268,"corsage d' Éva , et posa la poupée sur les",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27269,"d' Éva , et posa la poupée sur les bras",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27275,"poupée sur les bras de Fifine , en embrassant de",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27281,", en embrassant de nouveau la jeune marchande . Un",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27293,approbation s' éleva autour de Kitty ; quelques enfants battirent,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27303,des mains . Alors seulement la petite Américaine remarqua que,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27308,la petite Américaine remarqua que sa générosité avait de nombreux,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27315,avait de nombreux témoins . Elle devint toute rouge et,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27325,", saisissant la main de sa bonne : « Allons",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27337,"- en , » dit - elle . Comme elles",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27354,", désespérée du résultat de sa malice , courut après",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27362,"courut après elles et les rejoignit . « Alors ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27370,"Alors , demanda - t - elle à Kitty ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27373,"- t - elle à Kitty , bien vrai ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27378,"Kitty , bien vrai , tu me détestes ? —",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27379,", bien vrai , tu me détestes ? — Non",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27387,"— Non , répondit fièrement l' Américaine , je te",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27390,"répondit fièrement l' Américaine , je te méprise . »",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27391,"fièrement l' Américaine , je te méprise . » Et",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27396,te méprise . » Et elle passa . Pendant ce,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27403,". Pendant ce temps , Fifine était restée au milieu",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27423,étourdie de tout cela qu' elle n' avait pas même,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27431,pas même pensé à remercier Kitty . « Tu es,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27434,"à remercier Kitty . « Tu es bien contente ,",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27439,"Tu es bien contente , ma petite ? lui dit",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27442,"contente , ma petite ? lui dit un grand monsieur",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27478,quand on rêve . — Tu n' avais point de,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27485,"avais point de poupée , t' en voilà une bien",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27496,. — Trop belle . Je n' oserai jamais la,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27500,. Je n' oserai jamais la porter chez nous où,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27542,payer . Ça fait que je n' aurai pas le,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27555,avec cette poupée . — Tu es une bonne fille,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27565,". Dis , la donnerais - tu cette poupée pour",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27571,tu cette poupée pour que ta mère n' aie plus,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27582,pleurer ? — Oh ! je crois bien ! —,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27590,"! — Alors , veux - tu me la vendre",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27593,", veux - tu me la vendre ? — Mais",Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27608,Mlle Kitty ? — Que tu es une brave enfant,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27610,? — Que tu es une brave enfant qui aime,Female
Vadier-Berthe_Rose-et-Rosette-odyssee-d-une-trop-belle-poupee_<une pauvre petite marchande bien connue des enfants des Tuileries-1238>_27613,tu es une brave enfant qui aime bien sa mère,Female
