,text_surronding,Gender
Colette_Claudine-a-l-ecole_<Je-515>_12431,tire lestement le coin de mon tablier et tout croule,female
Colette_Claudine-a-l-ecole_<Je-515>_12457,"dans la cour . On me gronde , pour ma",female
Colette_Claudine-a-l-ecole_<Je-515>_12461,"On me gronde , pour ma maladresse , et deux",female
Colette_Claudine-a-l-ecole_<Je-515>_12516,à l' école maternelle . Je fronce le nez :,female
Colette_Claudine-a-l-ecole_<Je-515>_12573,jardin de l' instituteur . Moi je n' ai pas,female
Colette_Claudine-a-l-ecole_<Je-515>_12574,de l' instituteur . Moi je n' ai pas le,female
Colette_Claudine-a-l-ecole_<Je-515>_12592,trop inquiète des ennuis que je pressens . Nous retournons,female
Colette_Claudine-a-l-ecole_<Je-515>_12686,", quand nous sortons , je rôde pour apercevoir mademoiselle",female
Colette_Claudine-a-l-ecole_<Je-515>_12702,Elle l' enferme donc ? Je m' en vais déjeuner,female
Colette_Claudine-a-l-ecole_<Je-515>_12722,même s' en aperçoit et me demande si j' ai,female
Colette_Claudine-a-l-ecole_<Je-515>_12725,aperçoit et me demande si j' ai la fièvre .,female
Colette_Claudine-a-l-ecole_<Je-515>_12733,"fièvre . . . Puis je reviens très tôt ,",female
Colette_Claudine-a-l-ecole_<Je-515>_12743,"à midi un quart et je m' énerve , parmi",female
Colette_Claudine-a-l-ecole_<Je-515>_12783,", des fruits . Et j' attends inutilement , et",female
Colette_Claudine-a-l-ecole_<Je-515>_12788,"j' attends inutilement , et je me tourmente ! Antonin",female
Colette_Claudine-a-l-ecole_<Je-515>_12803,comme une autre ) et me salue avec des grâces,female
Colette_Claudine-a-l-ecole_<Je-515>_12816,". – Mille pardons , Mademoiselle ; et autrement ,",female
Colette_Claudine-a-l-ecole_<Je-515>_12834,"– Non , Monsieur , je les attends ; puissent",female
Colette_Claudine-a-l-ecole_<Je-515>_12862,Voilà déjà sept fois que je commente cet aphorisme d',female
Colette_Claudine-a-l-ecole_<Je-515>_12879,françaises qui furent remarquées . J' ai parlé avec une,female
Colette_Claudine-a-l-ecole_<Je-515>_12911,", il va penser que je suis un peu folle",female
Colette_Claudine-a-l-ecole_<Je-515>_12924,"change de conversation : – Mademoiselle , on m' a",female
Colette_Claudine-a-l-ecole_<Je-515>_12931,on m' a dit que vous lisiez beaucoup . Monsieur,female
Colette_Claudine-a-l-ecole_<Je-515>_12936,vous lisiez beaucoup . Monsieur votre père possède une nombreuse,female
Colette_Claudine-a-l-ecole_<Je-515>_12961,un de plus . – Vous savez bien des choses,female
Colette_Claudine-a-l-ecole_<Je-515>_12984,l' autre jour – quand vous avez si gracieusement chanté,female
Colette_Claudine-a-l-ecole_<Je-515>_12991,si gracieusement chanté – que vous aviez des idées bien,female
Colette_Claudine-a-l-ecole_<Je-515>_13000,bien au - dessus de votre âge . ( Dieu,female
Colette_Claudine-a-l-ecole_<Je-515>_13023,en aller ? Ah ! j' oubliais qu' il est,female
Colette_Claudine-a-l-ecole_<Je-515>_13032,est un peu amoureux de moi . Soyons plus gentille,female
Colette_Claudine-a-l-ecole_<Je-515>_13041,"gentille . ) – Mais vous - même , Monsieur",female
Colette_Claudine-a-l-ecole_<Je-515>_13047,"- même , Monsieur , vous possédez une belle voix",female
Colette_Claudine-a-l-ecole_<Je-515>_13055,"belle voix de baryton , m' a - t -",female
Colette_Claudine-a-l-ecole_<Je-515>_13064,- on dit . Nous vous entendons quelquefois chanter dans,female
Colette_Claudine-a-l-ecole_<Je-515>_13069,vous entendons quelquefois chanter dans votre chambre quand les maçons,female
Colette_Claudine-a-l-ecole_<Je-515>_13079,ne font pas rage . Il devient ponceau de joie,female
Colette_Claudine-a-l-ecole_<Je-515>_13085,devient ponceau de joie et proteste avec une modestie enchantée,female
Colette_Claudine-a-l-ecole_<Je-515>_13091,avec une modestie enchantée . Il se tortille : –,female
Colette_Claudine-a-l-ecole_<Je-515>_13098,tortille : – Oh ! Mademoiselle ! … D' ailleurs,female
Colette_Claudine-a-l-ecole_<Je-515>_13103,Mademoiselle ! … D' ailleurs vous pourrez en juger bientôt,female
Colette_Claudine-a-l-ecole_<Je-515>_13110,"en juger bientôt , car mademoiselle Sergent m' a demandé",female
Colette_Claudine-a-l-ecole_<Je-515>_13112,"bientôt , car mademoiselle Sergent m' a demandé de donner",female
Colette_Claudine-a-l-ecole_<Je-515>_13144,. Quelle chance ! Si je n' étais pas aussi,female
Colette_Claudine-a-l-ecole_<Je-515>_13151,"étais pas aussi préoccupée , je serais enchantée d' apprendre",female
Colette_Claudine-a-l-ecole_<Je-515>_13201,! – Comment ? Mais je n' en savais rien,female
Colette_Claudine-a-l-ecole_<Je-515>_13209,savais rien du tout ! Soyez assez bonne pour feindre,female
Colette_Claudine-a-l-ecole_<Je-515>_13218,feindre de l' ignorer ! Il me supplie avec des,female
Colette_Claudine-a-l-ecole_<Je-515>_13219,de l' ignorer ! Il me supplie avec des effets,female
Colette_Claudine-a-l-ecole_<Je-515>_13228,"effets de torse , et moi je secoue la tête",female
Colette_Claudine-a-l-ecole_<Je-515>_13229,"de torse , et moi je secoue la tête pour",female
Colette_Claudine-a-l-ecole_<Je-515>_13239,chasser des boucles qui ne me gênent pas du tout,female
Colette_Claudine-a-l-ecole_<Je-515>_13252,"de secret entre nous deux le met en joie ,",female
Colette_Claudine-a-l-ecole_<Je-515>_13259,"en joie , il va lui servir de thème à",female
Colette_Claudine-a-l-ecole_<Je-515>_13276,"d' intelligence très ordinaire . Il se retire , portant",female
Colette_Claudine-a-l-ecole_<Je-515>_13293,"familier . « Adieu , Mademoiselle Claudine . – Adieu",female
Colette_Claudine-a-l-ecole_<Je-515>_13315,toujours pas d' Aimée ! Je refuse de jouer sous,female
Colette_Claudine-a-l-ecole_<Je-515>_13325,"prétexte de migraine , et je me chauffe . Oh",female
Colette_Claudine-a-l-ecole_<Je-515>_13338,Qu' est - ce que je vois ? Les voilà,female
Colette_Claudine-a-l-ecole_<Je-515>_13418,spectacle de cette idylle tourne mon inquiétude en chagrin .,female
Colette_Claudine-a-l-ecole_<Je-515>_13433,"près de la porte , je me précipite au -",female
Colette_Claudine-a-l-ecole_<Je-515>_13451,loup en criant : « Je joue ! » comme,female
Colette_Claudine-a-l-ecole_<Je-515>_13456,Je joue ! » comme je crierais « au feu,female
Colette_Claudine-a-l-ecole_<Je-515>_13476,"on sonne la rentrée , je m' essouffle et je",female
Colette_Claudine-a-l-ecole_<Je-515>_13480,", je m' essouffle et je galope , poursuivie et",female
Colette_Claudine-a-l-ecole_<Je-515>_13494,de penser le plus que je peux . Pendant la,female
Colette_Claudine-a-l-ecole_<Je-515>_13501,". Pendant la partie , j' ai aperçu la tête",female
Colette_Claudine-a-l-ecole_<Je-515>_13556,ridicules . L' aimable Antonin me dédie un gracieux sourire,female
Colette_Claudine-a-l-ecole_<Je-515>_13564,gracieux sourire extrêmement gracieux ; je ne crois pas devoir,female
Colette_Claudine-a-l-ecole_<Je-515>_13574,"y répondre à cause de mes camarades , mais je",female
Colette_Claudine-a-l-ecole_<Je-515>_13578,"de mes camarades , mais je cambre ma taille et",female
Colette_Claudine-a-l-ecole_<Je-515>_13580,"camarades , mais je cambre ma taille et je secoue",female
Colette_Claudine-a-l-ecole_<Je-515>_13583,je cambre ma taille et je secoue mes boucles .,female
Colette_Claudine-a-l-ecole_<Je-515>_13585,ma taille et je secoue mes boucles . Il faut,female
Colette_Claudine-a-l-ecole_<Je-515>_13600,"( D' ailleurs , il me semble né gaffeur et",female
Colette_Claudine-a-l-ecole_<Je-515>_13734,"classe . Aimée arrive , je cherche ses yeux pour",female
Colette_Claudine-a-l-ecole_<Je-515>_13743,"pour lui sourire de toute ma tendresse anxieuse , mais",female
Colette_Claudine-a-l-ecole_<Je-515>_13749,"tendresse anxieuse , mais elle me rend un regard assez",female
Colette_Claudine-a-l-ecole_<Je-515>_13758,"assez mal assuré , et mon cœur se gonfle stupidement",female
Colette_Claudine-a-l-ecole_<Je-515>_13765,se gonfle stupidement pendant que je me penche sur mon,female
Colette_Claudine-a-l-ecole_<Je-515>_13769,que je me penche sur mon tricot diamant … Je,female
Colette_Claudine-a-l-ecole_<Je-515>_13773,sur mon tricot diamant … Je n' ai jamais laissé,female
Colette_Claudine-a-l-ecole_<Je-515>_13783,tomber tant de mailles ! J' en laisse tomber un,female
Colette_Claudine-a-l-ecole_<Je-515>_13792,un nombre si considérable que je suis obligée d' aller,female
Colette_Claudine-a-l-ecole_<Je-515>_13810,"elle cherche un remède à mes maladresses , je lui",female
Colette_Claudine-a-l-ecole_<Je-515>_13813,"remède à mes maladresses , je lui chuchote : «",female
Colette_Claudine-a-l-ecole_<Je-515>_13838,"donc , mon Dieu ? Je me ronge de ne",female
Colette_Claudine-a-l-ecole_<Je-515>_13859,"autour d' elle , et me répond très bas :",female
Colette_Claudine-a-l-ecole_<Je-515>_13869,– Je ne peux rien vous dire maintenant ; demain,female
Colette_Claudine-a-l-ecole_<Je-515>_13879,à la leçon . – Je ne pourrai jamais attendre,female
Colette_Claudine-a-l-ecole_<Je-515>_13889,jusqu' à demain ! Si je prétendais que papa a,female
Colette_Claudine-a-l-ecole_<Je-515>_13902,"bibliothèque demain , et si je demandais que vous me",female
Colette_Claudine-a-l-ecole_<Je-515>_13906,si je demandais que vous me donniez ma leçon ce,female
Colette_Claudine-a-l-ecole_<Je-515>_13908,demandais que vous me donniez ma leçon ce soir ?,female
Colette_Claudine-a-l-ecole_<Je-515>_13926,". Mais retournez vite à votre place , les grandes",female
Colette_Claudine-a-l-ecole_<Je-515>_13934,les grandes nous regardent . Je lui dis « Merci,female
Colette_Claudine-a-l-ecole_<Je-515>_13943,Merci » tout haut et me rassieds . Elle a,female
Colette_Claudine-a-l-ecole_<Je-515>_14011,"quatre heures , enfin , je vais tout de suite",female
Colette_Claudine-a-l-ecole_<Je-515>_14022,"mademoiselle Sergent , et lui demande d' un trait :",female
Colette_Claudine-a-l-ecole_<Je-515>_14040,permettre à mademoiselle Lanthenay de me donner ma leçon ce,female
Colette_Claudine-a-l-ecole_<Je-515>_14042,mademoiselle Lanthenay de me donner ma leçon ce soir au,female
Colette_Claudine-a-l-ecole_<Je-515>_14072,y rester . Ouf ! J' ai débité ma phrase,female
Colette_Claudine-a-l-ecole_<Je-515>_14075,Ouf ! J' ai débité ma phrase sans respirer .,female
Colette_Claudine-a-l-ecole_<Je-515>_14085,"Mademoiselle fronce les sourcils , me dévisage une seconde et",female
Colette_Claudine-a-l-ecole_<Je-515>_14102,"prévenir mademoiselle Lanthenay . » J' y cours , elle",female
Colette_Claudine-a-l-ecole_<Je-515>_14115,", son manteau , et je l' emmène , trépignante",female
Colette_Claudine-a-l-ecole_<Je-515>_14186,"vous . En attendant , je serre son bras sous",female
Colette_Claudine-a-l-ecole_<Je-515>_14215,"bibliothèque tirée sur nous , je la prends dans mes",female
Colette_Claudine-a-l-ecole_<Je-515>_14219,", je la prends dans mes bras et je l'",female
Colette_Claudine-a-l-ecole_<Je-515>_14222,prends dans mes bras et je l' embrasse ; il,female
Colette_Claudine-a-l-ecole_<Je-515>_14227,je l' embrasse ; il me semble qu' on l',female
Colette_Claudine-a-l-ecole_<Je-515>_14238,"enfermée un mois loin de moi , cette pauvre petite",female
Colette_Claudine-a-l-ecole_<Je-515>_14264,"? Pourtant , ses regards me paraissent surtout embarrassés et",female
Colette_Claudine-a-l-ecole_<Je-515>_14279,triste . Et puis elle me rend mes baisers vite,female
Colette_Claudine-a-l-ecole_<Je-515>_14281,Et puis elle me rend mes baisers vite ; je,female
Colette_Claudine-a-l-ecole_<Je-515>_14285,rend mes baisers vite ; je n' aime pas du,female
Colette_Claudine-a-l-ecole_<Je-515>_14293,pas du tout qu' on m' embrasse à la six,female
Colette_Claudine-a-l-ecole_<Je-515>_14357,que ces leçons d' anglais m' empêchent de corriger les,female
Colette_Claudine-a-l-ecole_<Je-515>_14366,"les cahiers , et que je suis forcée de me",female
Colette_Claudine-a-l-ecole_<Je-515>_14387,"pas de temps , et soyez franche ; elle ne",female
Colette_Claudine-a-l-ecole_<Je-515>_14395,elle ne veut plus que vous veniez ? J' en,female
Colette_Claudine-a-l-ecole_<Je-515>_14398,plus que vous veniez ? J' en tremble d' angoisse,female
Colette_Claudine-a-l-ecole_<Je-515>_14404,"en tremble d' angoisse , je serre mes mains entre",female
Colette_Claudine-a-l-ecole_<Je-515>_14406,"d' angoisse , je serre mes mains entre mes genoux",female
Colette_Claudine-a-l-ecole_<Je-515>_14409,je serre mes mains entre mes genoux pour les faire,female
Colette_Claudine-a-l-ecole_<Je-515>_14431,"décolle , en levant sur moi ses yeux qui redeviennent",female
Colette_Claudine-a-l-ecole_<Je-515>_14453,"l' a pas dit comme vous le dites , Claudine",female
Colette_Claudine-a-l-ecole_<Je-515>_14457,"comme vous le dites , Claudine ; écoutez - moi",female
Colette_Claudine-a-l-ecole_<Je-515>_14460,"dites , Claudine ; écoutez - moi un peu …",female
Colette_Claudine-a-l-ecole_<Je-515>_14465,- moi un peu … Je n' écoute rien du,female
Colette_Claudine-a-l-ecole_<Je-515>_14472,"écoute rien du tout , je me sens fondue de",female
Colette_Claudine-a-l-ecole_<Je-515>_14479,sens fondue de chagrin ; je suis assise sur un,female
Colette_Claudine-a-l-ecole_<Je-515>_14495,"sa taille mince entourée de mon bras , je la",female
Colette_Claudine-a-l-ecole_<Je-515>_14498,"entourée de mon bras , je la supplie : –",female
Colette_Claudine-a-l-ecole_<Je-515>_14507,"– Ma chérie , ne vous en allez pas ;",female
Colette_Claudine-a-l-ecole_<Je-515>_14513,"en allez pas ; si vous saviez , j' aurais",female
Colette_Claudine-a-l-ecole_<Je-515>_14516,"; si vous saviez , j' aurais trop de chagrin",female
Colette_Claudine-a-l-ecole_<Je-515>_14532,", inventez quelque chose , revenez , ne me laissez",female
Colette_Claudine-a-l-ecole_<Je-515>_14535,"chose , revenez , ne me laissez pas ! Vous",female
Colette_Claudine-a-l-ecole_<Je-515>_14539,ne me laissez pas ! Vous m' inondez de plaisir,female
Colette_Claudine-a-l-ecole_<Je-515>_14540,"me laissez pas ! Vous m' inondez de plaisir ,",female
Colette_Claudine-a-l-ecole_<Je-515>_14551,qu' à être près de moi ! Ça ne vous,female
Colette_Claudine-a-l-ecole_<Je-515>_14555,de moi ! Ça ne vous fait donc pas plaisir,female
Colette_Claudine-a-l-ecole_<Je-515>_14561,fait donc pas plaisir à vous ? Je suis donc,female
Colette_Claudine-a-l-ecole_<Je-515>_14574,"ou une Marie Belhomme pour vous ? Ma chérie ,",female
Colette_Claudine-a-l-ecole_<Je-515>_14576,"Marie Belhomme pour vous ? Ma chérie , revenez ,",female
Colette_Claudine-a-l-ecole_<Je-515>_14590,des leçons d' anglais ! Je vous aime tant …,female
Colette_Claudine-a-l-ecole_<Je-515>_14591,leçons d' anglais ! Je vous aime tant … je,female
Colette_Claudine-a-l-ecole_<Je-515>_14595,Je vous aime tant … je ne vous le disais,female
Colette_Claudine-a-l-ecole_<Je-515>_14597,"aime tant … je ne vous le disais pas ,",female
Colette_Claudine-a-l-ecole_<Je-515>_14604,"disais pas , mais maintenant vous le voyez bien !",female
Colette_Claudine-a-l-ecole_<Je-515>_14612,"bien ! … Revenez , je vous en prie .",female
Colette_Claudine-a-l-ecole_<Je-515>_14613,"! … Revenez , je vous en prie . Elle",female
Colette_Claudine-a-l-ecole_<Je-515>_14622,"Elle ne peut pourtant pas vous battre , cette rousse",female
Colette_Claudine-a-l-ecole_<Je-515>_14632,"de malheur ! La fièvre me brûle , et je",female
Colette_Claudine-a-l-ecole_<Je-515>_14636,"fièvre me brûle , et je m' énerve plus encore",female
Colette_Claudine-a-l-ecole_<Je-515>_14654,l' unisson . Elle caresse ma tête qui repose sur,female
Colette_Claudine-a-l-ecole_<Je-515>_14664,"ses genoux , et ne m' interrompt guère que par",female
Colette_Claudine-a-l-ecole_<Je-515>_14698,": – Je vais tout vous raconter , c' est",female
Colette_Claudine-a-l-ecole_<Je-515>_14706,c' est trop malheureux ; vous me faites trop de,female
Colette_Claudine-a-l-ecole_<Je-515>_14717,"! Voilà samedi dernier , j' ai bien remarqué qu'",female
Colette_Claudine-a-l-ecole_<Je-515>_14723,ai bien remarqué qu' elle me faisait plus de gentillesses,female
Colette_Claudine-a-l-ecole_<Je-515>_14733,"que de coutume , et moi , croyant qu' elle",female
Colette_Claudine-a-l-ecole_<Je-515>_14741,qu' elle s' habituait à moi et qu' elle nous,female
Colette_Claudine-a-l-ecole_<Je-515>_14751,"laisserait tranquilles toutes deux , j' étais contente et toute",female
Colette_Claudine-a-l-ecole_<Je-515>_14788,"en relevant la tête , je vois qu' elle pleurait",female
Colette_Claudine-a-l-ecole_<Je-515>_14795,"qu' elle pleurait , en me regardant avec des yeux",female
Colette_Claudine-a-l-ecole_<Je-515>_14803,des yeux si bizarres que j' en suis restée interdite,female
Colette_Claudine-a-l-ecole_<Je-515>_14833,"journée remplie de prévenances pour moi , voilà que ,",female
Colette_Claudine-a-l-ecole_<Je-515>_14845,", seule avec elle , je me préparais à lui",female
Colette_Claudine-a-l-ecole_<Je-515>_14855,"dire bonsoir , quand elle me demande: « Vous aimez",female
Colette_Claudine-a-l-ecole_<Je-515>_14858,quand elle me demande: « Vous aimez donc bien Claudine,female
Colette_Claudine-a-l-ecole_<Je-515>_14865,donc bien Claudine ? Elle vous le rend sans doute?,female
Colette_Claudine-a-l-ecole_<Je-515>_14874,doute? » Et avant que j' aie eu le temps,female
Colette_Claudine-a-l-ecole_<Je-515>_14887,était tombée assise près de moi en sanglotant . Et,female
Colette_Claudine-a-l-ecole_<Je-515>_14894,sanglotant . Et puis elle m' a pris les mains,female
Colette_Claudine-a-l-ecole_<Je-515>_14901,"pris les mains , et m a dit toutes sortes",female
Colette_Claudine-a-l-ecole_<Je-515>_14909,toutes sortes de choses dont j' étais ébahie . .,female
Colette_Claudine-a-l-ecole_<Je-515>_14924,– Eh bien ! Elle me disait « Ma chère,female
Colette_Claudine-a-l-ecole_<Je-515>_14931,"« Ma chère petite , vous ne voyez donc pas",female
Colette_Claudine-a-l-ecole_<Je-515>_15009,"détester , oh ! si vous vouliez seulement m' aimer",female
Colette_Claudine-a-l-ecole_<Je-515>_15020,"peu , je serais pour vous une amie plus tendre",female
Colette_Claudine-a-l-ecole_<Je-515>_15026,une amie plus tendre que vous ne pouvez l' imaginer,female
Colette_Claudine-a-l-ecole_<Je-515>_15037,. . » Et elle me regardait jusqu' au fond,female
Colette_Claudine-a-l-ecole_<Je-515>_15053,comme des tisons . – Vous ne lui répondiez rien,female
Colette_Claudine-a-l-ecole_<Je-515>_15063,? – Bien sûr ! Je n' avais pas le,female
Colette_Claudine-a-l-ecole_<Je-515>_15076,disait encore : « Croyez - vous que ce soit,female
Colette_Claudine-a-l-ecole_<Je-515>_15095,ces leçons d' anglais que vous lui donnez ? Je,female
Colette_Claudine-a-l-ecole_<Je-515>_15103,? Je sais trop que vous ne faites guère d',female
Colette_Claudine-a-l-ecole_<Je-515>_15117,et ça me déchire de vous voir partir chaque fois,female
Colette_Claudine-a-l-ecole_<Je-515>_15161,"d' en éprouver ! » Je vous assure , Claudine",female
Colette_Claudine-a-l-ecole_<Je-515>_15167,"vous assure , Claudine , je ne savais ce que",female
Colette_Claudine-a-l-ecole_<Je-515>_15172,"je ne savais ce que je faisais , elle me",female
Colette_Claudine-a-l-ecole_<Je-515>_15176,"que je faisais , elle me magnétisait avec ses yeux",female
Colette_Claudine-a-l-ecole_<Je-515>_15193,"la chambre tourne autour de moi , et ma tête",female
Colette_Claudine-a-l-ecole_<Je-515>_15196,"autour de moi , et ma tête chavire , et",female
Colette_Claudine-a-l-ecole_<Je-515>_15201,"ma tête chavire , et je n' ai plus rien",female
Colette_Claudine-a-l-ecole_<Je-515>_15216,"secondes , pas plus ; j' entendais seulement qu' elle",female
Colette_Claudine-a-l-ecole_<Je-515>_15257,tout de suite après elle m' a aidée à me,female
Colette_Claudine-a-l-ecole_<Je-515>_15270,"des manières caressantes , et j' ai dormi comme si",female
Colette_Claudine-a-l-ecole_<Je-515>_15275,j' ai dormi comme si j' avais marché toute la,female
Colette_Claudine-a-l-ecole_<Je-515>_15284,"la journée . . . Ma pauvre Claudine , vous",female
Colette_Claudine-a-l-ecole_<Je-515>_15291,"Claudine , vous voyez si j' y puis quelque chose",female
Colette_Claudine-a-l-ecole_<Je-515>_15297,y puis quelque chose ! Je suis abasourdie . Elle,female
Colette_Claudine-a-l-ecole_<Je-515>_15315,"volcanique ! Au fond , je ne m' en étonne",female
Colette_Claudine-a-l-ecole_<Je-515>_15331,"ainsi . En attendant , je reste là , atterrée",female
Colette_Claudine-a-l-ecole_<Je-515>_15349,"ensorcelée par cette furie , je ne sais que dire",female
Colette_Claudine-a-l-ecole_<Je-515>_15362,essuie les yeux . Il me semble que son chagrin,female
Colette_Claudine-a-l-ecole_<Je-515>_15372,finit avec ses larmes . Je la questionne : –,female
Colette_Claudine-a-l-ecole_<Je-515>_15378,"la questionne : – Mais vous , vous ne l'",female
Colette_Claudine-a-l-ecole_<Je-515>_15391,tout ? Elle répond sans me regarder : – Non,female
Colette_Claudine-a-l-ecole_<Je-515>_15405,"mais réellement , elle semble m' aimer beaucoup et je",female
Colette_Claudine-a-l-ecole_<Je-515>_15409,semble m' aimer beaucoup et je ne m' en doutais,female
Colette_Claudine-a-l-ecole_<Je-515>_15417,"en doutais pas . Elle me glace , sa réponse",female
Colette_Claudine-a-l-ecole_<Je-515>_15426,"réponse , parce qu' enfin je ne suis pas encore",female
Colette_Claudine-a-l-ecole_<Je-515>_15434,"pas encore idiote , et je comprends ce qu' on",female
Colette_Claudine-a-l-ecole_<Je-515>_15440,comprends ce qu' on veut me dire . Je lâche,female
Colette_Claudine-a-l-ecole_<Je-515>_15443,on veut me dire . Je lâche ses mains que,female
Colette_Claudine-a-l-ecole_<Je-515>_15448,Je lâche ses mains que je tenais et je me,female
Colette_Claudine-a-l-ecole_<Je-515>_15451,mains que je tenais et je me relève . Il,female
Colette_Claudine-a-l-ecole_<Je-515>_15468,Puisqu' elle ne veut pas m' avouer franchement qu' elle,female
Colette_Claudine-a-l-ecole_<Je-515>_15477,"elle n' est plus avec moi contre l' autre ,",female
Colette_Claudine-a-l-ecole_<Je-515>_15491,"fond de sa pensée , je crois que c' est",female
Colette_Claudine-a-l-ecole_<Je-515>_15498,que c' est fini . J' ai les mains gelées,female
Colette_Claudine-a-l-ecole_<Je-515>_15507,gelées et les joues qui me brûlent . Après un,female
Colette_Claudine-a-l-ecole_<Je-515>_15517,"silence désagréable , c' est moi qui reprends : –",female
Colette_Claudine-a-l-ecole_<Je-515>_15518,"désagréable , c' est moi qui reprends : – Ma",female
Colette_Claudine-a-l-ecole_<Je-515>_15522,moi qui reprends : – Ma chère Aimée aux beaux,female
Colette_Claudine-a-l-ecole_<Je-515>_15529,"Aimée aux beaux yeux , je vous supplie de revenir",female
Colette_Claudine-a-l-ecole_<Je-515>_15530,"aux beaux yeux , je vous supplie de revenir encore",female
Colette_Claudine-a-l-ecole_<Je-515>_15542,pour finir le mois; pensez - vous qu' Elle le,female
Colette_Claudine-a-l-ecole_<Je-515>_15555,"– Oh ! oui , je le lui demanderai .",female
Colette_Claudine-a-l-ecole_<Je-515>_15590,"elle s' éloigne vite de moi , et comme l'",female
Colette_Claudine-a-l-ecole_<Je-515>_15634,que la mienne ! Mais je ne veux pas le,female
Colette_Claudine-a-l-ecole_<Je-515>_15653,"la dernière leçon , et je garde encore un vague",female
Colette_Claudine-a-l-ecole_<Je-515>_15667,"L' heure est passée , je reconduis Aimée , et",female
Colette_Claudine-a-l-ecole_<Je-515>_15677,", dans le corridor , je l' embrasse violemment ,",female
Colette_Claudine-a-l-ecole_<Je-515>_15691,". Une fois seule , je m' étonne de ne",female
Colette_Claudine-a-l-ecole_<Je-515>_15702,me sentir aussi triste que je le croyais . Je,female
Colette_Claudine-a-l-ecole_<Je-515>_15706,que je le croyais . Je m' attendais à une,female
Colette_Claudine-a-l-ecole_<Je-515>_15722,est plutôt un froid qui me gèle . . .,female
Colette_Claudine-a-l-ecole_<Je-515>_15730,". . à table , je coupe le rêve de",female
Colette_Claudine-a-l-ecole_<Je-515>_15738,"rêve de papa : – Tu sais , papa ,",female
Colette_Claudine-a-l-ecole_<Je-515>_15754,"Oui , je sais , tu as raison d' en",female
Colette_Claudine-a-l-ecole_<Je-515>_15765,". . . – Écoute - moi donc , je",female
Colette_Claudine-a-l-ecole_<Je-515>_15779,. – Ah ! ça te fatigue ? – Oui,female
Colette_Claudine-a-l-ecole_<Je-515>_15786,"? – Oui , ça m' énerve . – Tu",female
Colette_Claudine-a-l-ecole_<Je-515>_15795,Tu as raison . Et sa pensée revole vers les,female
