,text_surronding,,,,Gender
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3431,lapin qu' on écorche . Mon père disait cela pour,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3437,père disait cela pour que je restasse . Mais il,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3446,il savait que ce spectacle me bouleversait . Je sentais,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3449,ce spectacle me bouleversait . Je sentais qu' il le,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3457,il le bouleversait aussi . Je lui demandai de me,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3461,. Je lui demandai de me prendre sur ses épaules,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3473,"voir . En réalité , j' allais m' évanouir ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3478,"j' allais m' évanouir , mes jambes ne me portaient",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3481,"évanouir , mes jambes ne me portaient plus . Maintenant",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3589,de pierre . Jusqu' ici j' avais essayé de supporter,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3598,"supporter tout , bien que mes oreilles tintassent et que",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3605,tintassent et que le cœur me manquât . Mais quand,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3610,me manquât . Mais quand j' entendis des gens crier,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3622,"Elle vit encore » , je tombai , sans connaissance",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3636,"mon père . Revenu à moi , il m' entraîna",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3639,"Revenu à moi , il m' entraîna au bord de",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3664,"herbe . Au retour , je crus voir derrière la",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3716,son prestige détruit . Si j' insiste sur un tel,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3748,"plus que le pittoresque , me frappait la poésie des",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3789,chez nous . Tandis que ma tante parlait d' une,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3815,"des boîtes de sardines , je demandai à mon père",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3818,"sardines , je demandai à mon père le moyen d'",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3833,c' est ce qu' il me coûtait le plus de,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3861,"que c' était inutile . Mes sœurs , maintenant ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3912,les paniers étaient presque vides! Je devais entrer au lycée,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3921,lycée Henri IV ; mais mon père préféra me garder,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3924,; mais mon père préféra me garder encore un an,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3933,an à la campagne . Ma seule distraction de ce,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3961,"du Mot , journal qui me plaisait et paraissait le",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3972,. Ce jour - là je n' étais jamais levé,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_3986,"printemps arriva , qu' égayèrent mes premières incartades . Sous",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4001,"printemps , plusieurs fois , je me promenai , endimanché",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4011,", une jeune personne à ma droite . Je tenais",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4014,personne à ma droite . Je tenais le tronc; elle,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4032,"seconde quête , des confrères m' apprirent à profiter de",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4043,journées libres où l' on me jetait dans les bras,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4097,"Pour la première fois , j' eus un ami .",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4102,j' eus un ami . J' aimais à quêter avec,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4115,"Pour la première fois , je m' entendais avec un",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4124,"un garçon aussi précoce que moi , admirant même sa",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4193,"lycée Henri IV , et je serais dans sa classe",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4211,apprendre le grec ; il me fit cet extrême sacrifice,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4288,"y virent l' effet de ma bonne influence , et",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4301,"supportaient ses autres camarades , j' étais , du moins",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4327,vacances de cette année ne me fut pesant . Je,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4331,ne me fut pesant . Je connus donc que personne,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4344,"son âge , et que mon dangereux mépris s' était",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4362,"bien voulu prendre garde à moi , de la façon",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4368,", de la façon qui me convenait . Nos communes",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4399,"rentrée des classes , René me fut un guide précieux",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4408,précieux . Avec lui tout me devenait plaisir et moi,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4412,"tout me devenait plaisir et moi qui , seul ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4413,"me devenait plaisir et moi qui , seul , ne",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4424,"avancer d' un pas , j' aimais faire à pied",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4482,filles que les parents de mon ami nous fournissaient innocemment,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4529,"La belle saison venue , mon père aimait à nous",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4536,"aimait à nous emmener , mes frères et moi ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4539,"emmener , mes frères et moi , dans de longues",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4583,"part ailleurs , et dont j' ai oublié le nom",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4658,à pied à Ormesson . Mon père me dit que,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4660,à Ormesson . Mon père me dit que nous retrouverions,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4675,"agréables , les Grangier . Je les connaissais pour avoir",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4701,"peinture . Un jour , j' avais entendu mes parents",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4704,"jour , j' avais entendu mes parents parler de la",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4760,une exposition de charité dont ma mère était présidente .,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4842,"courte , firent qu' elle me déplut au premier coup",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4856,"cours de cette promenade , je devais remarquer qu' elle",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4889,"eût tous les motifs de me déplaire , sans que",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4894,"me déplaire , sans que je me reprochasse d' être",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4901,"reprochasse d' être injuste , je souhaitais qu' elle employât",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4918,"Sur ce point , elle me déçut . Le père",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_4949,Mais où était Marthe ? Je tremblais à la perspective,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5033,. . . Cette imprudente me charma . Sa robe,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5097,"la route , Marthe et moi marchions en tête .",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5102,"moi marchions en tête . Mon père marchait derrière ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5111,", entre les Grangier . Mes frères , eux ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5134,défendait de courir . Comme je complimentais Marthe sur ses,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5142,"sur ses aquarelles , elle me répondit modestement que c'",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5159,"attachait aucune importance . Elle me montrerait mieux , des",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5169,"fleurs « stylisées » . Je jugeai bon , pour",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5184,ne pas lui dire que je trouvais ces sortes de,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5200,", elle ne pouvait bien me voir . Moi ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5203,"pouvait bien me voir . Moi , je l' observais",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5205,"me voir . Moi , je l' observais . —",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5220,"votre mère , lui dis - je . C' était",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5236,le dit quelquefois; mais quand vous viendrez à la maison,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5243,"à la maison , je vous montrerai des photographies de",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5259,je lui ressemble beaucoup . Je fus attristé de cette,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5267,"de cette réponse , et je priai Dieu de ne",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5308,"pouvait l' être que pour moi , puisque heureusement Marthe",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5319,"voyait point sa mère avec mes yeux , je lui",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5322,"mère avec mes yeux , je lui dis :— Vous",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5343,"lisses vous iraient mieux . Je restai terrifié , n'",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5357,chose à une femme . Je pensais à la façon,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5363,"pensais à la façon dont j' étais coiffé , moi",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5367,"dont j' étais coiffé , moi . — Vous pourrez",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5370,"coiffé , moi . — Vous pourrez le demander à",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5435,#¿NOMBRE?,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5459,ses goûts en littérature ; je fus heureux qu' elle,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5486,pourtant pas la mienne . J' y discernais une révolte,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5559,"qu' elle était fiancée , je me réjouis de savoir",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5576,nigaud pour craindre Baudelaire . Je fus heureux de sentir,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5594,"la première surprise désagréable , je me félicitai de son",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5605,", d' autant mieux que j' eusse craint , s'",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5633,"La Mort des Amants , Je me demandai ensuite ce",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5642,ce que cela pouvait bien me faire . Son fiancé,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5656,les académies de dessin . Moi qui n' y allais,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5657,académies de dessin . Moi qui n' y allais jamais,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5663,"n' y allais jamais , je lui proposai de l'",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5673,"y conduire , ajoutant que j' y travaillais souvent .",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5683,"Mais , craignant ensuite que mon mensonge fût découvert ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5688,"mon mensonge fût découvert , je la priai de n'",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5697,n' en point parler à mon père . Il ignorait,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5704,". Il ignorait , dis - je , que je",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5708,"dis - je , que je manquais des cours de",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5724,Grande - Chaumière . Car je ne voulais pas qu',,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5734,elle pût se figurer que je cachais l' académie à,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5739,"je cachais l' académie à mes parents , parce qu'",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5745,"parents , parce qu' ils me défendaient de voir des",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5753,voir des femmes nues . J' étais heureux qu' il,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5766,"secret entre nous , et moi , timide , me",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5777,déjà tyrannique avec elle . J' étais fier aussi d',,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5875,"prairies d' Ormesson . Dans ma candeur , je regrettais",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5878,". Dans ma candeur , je regrettais d' avoir été",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5905,", plus naturelle , pensai - je , je pourrais",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5908,", pensai - je , je pourrais éblouir Marthe ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5931,de ce village . » Je m' en abstins .,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5936,Je m' en abstins . Je croyais avoir des raisons,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5944,"des raisons profondes , et pensais qu' après tout ce",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5970,que rompre le charme . Je croyais qu' il s',,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_5989,"ailleurs vrai , simplement , je le sus dans la",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6008,dans le même sens que moi . Mais moi qui,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6011,sens que moi . Mais moi qui ne pouvais m',,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6012,que moi . Mais moi qui ne pouvais m' en,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6020,"m' en rendre compte , je me figurais lui avoir",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6030,adressé des paroles significatives . Je croyais avoir déclaré mon,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6034,. Je croyais avoir déclaré mon amour à une personne,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6041,à une personne insensible . J' oubliais que M .,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6059,moindre inconvénient tout ce que j' avais dit à leur,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6067,à leur fille ; mais moi aurais - je pu,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6069,fille ; mais moi aurais - je pu le lui,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6080,"en leur présence?— Marthe ne m' intimide pas , me",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6086,"intimide pas , me répétais - je . Donc ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6095,", seuls ses parents et mon père m' empêchent de",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6097,ses parents et mon père m' empêchent de me pencher,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6113,"l' embrasser . Profondément en moi , un autre garçon",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6134,pensait :— Quelle chance que je ne me trouve pas,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6143,pas seul avec elle! Car je n' oserais pas davantage,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6153,"l' embrasser , et n' aurais aucune excuse . Ainsi",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6192,terrasse d' un café . Je dus subir les compliments,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6202,de Mme Grangier . Ils m' humiliaient . Ils rappelaient,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6211,rappelaient à sa fille que je n' étais encore qu',,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6234,boire de la grenadine ; j' en commandai aussi .,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6243,". Le matin encore , je me serais cru déshonoré",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6254,buvant de la grenadine . Mon père n' y comprenait,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6262,y comprenait rien . Il me laissait toujours servir des,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6269,toujours servir des apéritifs . Je tremblai qu' il me,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6273,. Je tremblai qu' il me plaisantât sur ma sagesse,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6276,qu' il me plaisantât sur ma sagesse . Il le,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6296,Marthe ne devinât pas que je buvais de la grenadine,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6319,dîmes adieu aux Grangier . Je promis à Marthe de,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6373,de soumission choquait toujours . Mon père et mes frères,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6376,toujours . Mon père et mes frères s' étaient ennuyés,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6396,"lendemain , au lycée , je n' éprouvai pas le",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6409,"à René , à qui je disais tout , ma",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6413,"qui je disais tout , ma journée du dimanche .",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6419,journée du dimanche . Mais je n' étais pas d',,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6429,humeur à supporter qu' il me raillât de n' avoir,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6442,en cachette . Autre chose m' étonnait ; c' est,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6450,c' est qu' aujourd' hui je trouvais René moins différent,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6456,trouvais René moins différent de mes camarades . Ressentant de,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6466,"l' amour pour Marthe , j' en ôtais à René",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6473,"ôtais à René , à mes parents , à mes",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6477,"à mes parents , à mes sœurs . Je me",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6480,", à mes sœurs . Je me promettais bien cet",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6513,", ne pouvant attendre , je sus trouver à ma",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6517,", je sus trouver à ma faiblesse de bonnes excuses",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6523,faiblesse de bonnes excuses qui me permissent de porter après,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6545,"Marthe verrait la preuve de mon amour , disais -",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6549,"de mon amour , disais - je , et si",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6560,"refuse de la voir , je saurais bien l' y",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6573,"un quart d' heure , je courus comme un fou",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6593,"déranger pendant son repas , j' attendis , en nage",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6606,", devant la grille . Je pensais que pendant ce",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6613,"que pendant ce temps , mes palpitations de cœur s'",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6626,"augmentaient , au contraire . Je manquai tourner bride ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6643,"fenêtre voisine , une femme me regardait curieusement , voulant",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6651,", voulant savoir ce que je faisais , réfugié contre",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6660,contre cette porte . Elle me décida . Je sonnai,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6663,. Elle me décida . Je sonnai . J' entrai,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6666,décida . Je sonnai . J' entrai dans la maison,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6672,entrai dans la maison . Je demandai à la domestique,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6696,petite pièce où l' on m' avait introduit . Je,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6700,"on m' avait introduit . Je sursautai , comme si",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6711,domestique eût dû comprendre que j' avais demandé « Madame,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6721,» par convenance et que je venais voir « Mademoiselle,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6730,"Mademoiselle » . Rougissant , je priai Mme Grangier de",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6735,je priai Mme Grangier de m' excuser de la déranger,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6758,: ne pouvant venir jeudi j' apportais le livre et,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6775,"Cela tombe à merveille , me dit Mme Grangier ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6786,Marthe n' aurait pas pu vous recevoir . Son fiancé,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6822,futurs beaux - parents . Je m' en allai donc,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6830,"allai donc , et puisque je n' avais plus de",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6842,"la revoir jamais , croyais - je , m' efforçais",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6877,"un matin , sautant de mon wagon à la gare",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6886,"gare de la Bastille , je la vis qui descendait",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6910,vue de son mariage . Je lui demandai de m',,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6914,. Je lui demandai de m' accompagner jusqu' à Henri,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6952,"géographie . Vexé qu' elle me parlât études , comme",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6965,conversation n' eût été de mon âge . je lui,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6968,été de mon âge . je lui répondis aigrement que,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_6983,Elle fronça les sourcils . Je pensai à sa mère,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_7006,"quitter sur ces paroles que je croyais blessantes , je",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_7010,"que je croyais blessantes , je décidai d' entrer en",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_7027,le cours de dessin . Je fus heureux qu' en,,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_7042,"pas de sagesse , ne me fît aucun reproche ,",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_7052,"et , plutôt , semblât me remercier d' un tel",,,,Male
Radiguet-Raymond_Le-diable-au-corps_<Je-178>_7063,", en réalité nul . Je lui fus reconnaissant qu'",,,,Male
