,text_surronding,Gender
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72658,French Poetics . Je reprends mes vieilles notes de cours,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72698,"revues , etc . – Mon train ! . .",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72736,enfants ! – I beg your pardon ! – Notre,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72750,notre Pollux à nous . Vous connaissez le générique :,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72776,. . . » – You are pulling my leg,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72779,» – You are pulling my leg ! – Peut,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72791,pas après tout . Écoutez - moi . . .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72809,! Les Casimirus – devrai - je dire : Casimiri,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72904,de la groseille ? – Vous avez lu les Éléments,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72917,– N' oubliez pas que j' ai été l' un,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72975,", cru/cuit , froid/chaud . Vous me suivez ? –",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72976,"cru/cuit , froid/chaud . Vous me suivez ? – Je",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72980,"Vous me suivez ? – Je vous en prie ,",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72981,"me suivez ? – Je vous en prie , c'",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_72997,"BA . – Alors , j' énonce la thèse centrale",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73106,"À partir de là , vous connaissez le topo ,",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73111,"vous connaissez le topo , vous développez . . .",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73116,"vous développez . . . Vous enchaînez avec Bakhtine ,",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73244,? . . . – J' allais le dire !,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73252,dire ! croyez ? – Vous – J' en suis,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73254,croyez ? – Vous – J' en suis sûr et,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73269,"À partir de là , vous construisez une sémiotique gastronomique",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73291,et de ses vins . Vous pouvez même faire un,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73372,"rince la dalle » , je ne connais pas cette",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73394,"de la philosophie , je vous dis ! – Coffe",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73412,? – Laissez tomber ! Vous allez révolutionner les «,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73472,in the thirties . Je vous offre Casimir . C',Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73487,à coup sûr . Soignez votre look d' Anglais excentrique,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73493,"look d' Anglais excentrique et vous évincez Zeldin , vous",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73497,"et vous évincez Zeldin , vous rachetez à Mayle son",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73505,Mayle son mas provençal . Vous êtes de toutes les,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73512,"de toutes les télés , vous devenez l' Anglais idéal",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73527,Français . . . – Vous pourriez me faire une,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73544,. – Elle sera sur votre bureau dès que mon,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73548,sur votre bureau dès que mon cours du lundi aura,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73562,après - midi . 6 Je me revois dans le,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73585,"maladie de Pauline . On m' annonce que , pour",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73606,plusieurs mois la sortie de mon prochain essai sur l',Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73661,de ses rares ouvrages . Je l' admire et me,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73665,. Je l' admire et me le représente comme un,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73730,"mène à son bureau , je déclare à D .",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73757,dramatiques dans la vie ! Je ne croyais pas si,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73769,. Le manuscrit vit sans moi sa vie de manuscrit,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73776,vie de manuscrit tandis que je passe avec Alice mes,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73780,que je passe avec Alice mes journées au chevet de,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73903,chahuteurs et mauvais esprits . Je sers de guide et,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73912,"et d' interprète , d' introducteur et de contradicteur .",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73931,"L . H . , je fais mon numéro clownesque",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_73933,"H . , je fais mon numéro clownesque – désormais",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74012,"Le message est reçu , je crois . Plus rien",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74057,", tous les matins , je découvre les critiques que",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74066,que le service de presse me fait parvenir . Quel,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74080,presse s' y met . Je suis comme tous les,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74088,tous les auteurs . Mais mon délire paranoïaque élémentaire à,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74093,mon délire paranoïaque élémentaire à moi est rendu plus aigu,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74127,une ou deux insultes à mon endroit . Qu' est,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74135,Qu' est - ce qui m' a pris ? Il,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74144,Il ne tenait qu' à moi de passer pour respectable,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74151,passer pour respectable . Il me suffisait de commenter savamment,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74205,"- vous ? Heureusement , je suis parti , je",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74209,", je suis parti , je suis loin . .",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74218,. . Une petite fille m' attend à huit heures,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74287,Sega . . . Mais j' ai peur que cette,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74303,#NAME?,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74352,avec vigueur l' imposture de mon propos . Vais -,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74356,de mon propos . Vais - je être confondu sous,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74364,confondu sous les yeux de ma propre fille ? Me,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74368,de ma propre fille ? Me forcera - t -,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74382,? Que faire ? Dois - je profiter d' un,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74404,au moins les pages où je suis nommé ? Mais,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74417,lire le journal ici . J' ai eu chaud .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74422,J' ai eu chaud . Je reste anonyme . Écrivain,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74428,"reste anonyme . Écrivain , moi ? Non , vous",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74442,". Vous savez bien , je suis le papa de",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74471,"tour à tour , il me traite d' exégète «",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74514,"d' une hallucinante médiocrité , me prend à partie ,",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74519,"me prend à partie , me dénonçant comme « hagiographe",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74527,« hagiographe stalinien » . Je remarque à cette occasion,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74607,de la banlieue rouge . Je me garde à gauche,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74613,"me garde à gauche , je me garde à droite",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74638,", citant Daudet , on me cloue carrément au pilori",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74644,cloue carrément au pilori : je suis l' incarnation même,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74658,"la jeune pensée française , je cite ( resic )",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74695,". . C' est de moi , semble - t",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74726,! Quel cirque vous dis - je ! On me,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74730,dis - je ! On me convoque à la radio,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74743,"heure de la sieste , je m' absente en catastrophe",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74752,catastrophe de l' hôpital . J' embrasse Pauline . Je,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74756,. J' embrasse Pauline . Je saute dans un taxi,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74762,saute dans un taxi . Je m' égare dans les,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74769,égare dans les couloirs . Je m' assieds derrière un,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74783,rouge s' allume . Permettez - moi de vous le,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74797,", votre essai relève pour moi du pur charabia hagiographique",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74803,"du pur charabia hagiographique ! Je suis fait , démasqué",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74816,"piège . Trop tard , je reconnais les trois visages",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74822,reconnais les trois visages qui m' entourent . Ce sont,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74829,. Ce sont ceux de mon précédent cauchemar . .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74836,"cauchemar . . . À moi , Goldorak ! À",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74847,"aide , Sailor Moon ! J' ai oublié mon prisme",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74850,Moon ! J' ai oublié mon prisme lunaire ! Je,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74854,oublié mon prisme lunaire ! Je balbutie quelques explications .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74861,quelques explications . . . Je bats en retraite .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74868,en retraite . . . Je disparais . . .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74894,veut à tout prix que j' apparaisse dans son émission,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74919,"à la télévision . Si je me dérobe , je",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74923,"Si je me dérobe , je m' exposerai aux plus",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74931,"aux plus atroces représailles : je serai définitivement brisé ,",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74936,"je serai définitivement brisé , mon livre finira dans les",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74943,"finira dans les décors , ses pages seront rageusement déchirées",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74955,de jus d' orange . Je résiste à cette vision,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_74963,cette vision d' horreur . Je ne puis de toute,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75000,serait sans grande importance si je ne creusais mon tunnel,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75003,importance si je ne creusais mon tunnel artisanal sous la,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75010,artisanal sous la Manche . Mon absentéisme systématique est tel,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75016,absentéisme systématique est tel que je ne suis plus guère,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75047,", il est indispensable que je trouve un point de",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75060,éloigné de l' hôpital . Je me porte candidat auprès,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75069,auprès des universités françaises . Mon dossier en vaut un,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75083,ce vacarme de casseroles derrière moi est bien embarrassant et,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75091,embarrassant et fait peu pour ma respectabilité de chercheur .,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75094,peu pour ma respectabilité de chercheur . J' ai beau,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75096,ma respectabilité de chercheur . J' ai beau mettre en,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75102,ai beau mettre en avant mes travaux les plus présentables,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75121,"Renan – , on ne me prend pas au sérieux",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75131,une minute . Les journalistes me tenaient pour un universitaire,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75142,les universitaires ont tendance à me considérer comme un journaliste,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75163,de salles de rédaction . Je ne publie pas chez,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75173,des éditeurs assez obscurs et je n' ai pas même,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75182,même l' agrégation . On me voit quasi quotidiennement près,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75228,ne nous quitte pas . Je parcours la province française,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75256,"se ressemblent toutes . On m' observe , on m'",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75260,"On m' observe , on m' interroge , on me",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75264,"on m' interroge , on me fait parler , parfois",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75280,silence glacial de méfiance . Je fais mon numéro de,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75282,de méfiance . Je fais mon numéro de jeune enseignant,Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75308,"nausée permanente de détresse , j' aperçois l' image fixe",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75374,"est la bonne , on me repêche , par le",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75384,"jeu des désistements , et me voilà maître de conférences",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75386,"désistements , et me voilà maître de conférences pas trop",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75406,"c' est tout ce que je souhaitais . Ouf ,",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75411,"je souhaitais . Ouf , je retrouve Alice et Pauline",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75417,"retrouve Alice et Pauline ! Je cours , je vole",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75420,"Pauline ! Je cours , je vole . Manga ,",Male
Forest-Philippe_L-Enfant-eternel_<j'-3582>_75427,". Manga , vous dis - je , où les",Male
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100370,restée dans sa cage . Je la nourrirais le soir,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100492,autre à l' insu de l' enfant . Un traitement,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100633,ne voulions pas mentir à Pauline et comment pourrions -,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100639,et comment pourrions - nous lui expliquer que son bébé,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100642,"- nous lui expliquer que son bébé était mort ,",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100650,"mort , qu' un autre lui serait racheté ? Nous",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100668,aussitôt . Nous avons averti Pauline de ce qui arrivait,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100674,de ce qui arrivait . Elle a pris une voix,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100687,à la nôtre lorsque nous lui parlions à demi -,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100697,mot de nos angoisses . Elle a dit : Tu,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100701,". Elle a dit : Tu sais , je suis",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100704,"dit : Tu sais , je suis un peu inquiète",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100710,suis un peu inquiète pour mon petit animal . J',Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100714,pour mon petit animal . J' ai peur que les,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100724,"piqûres lui fassent mal . Pauline couchée , Alice passait",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100821,que mystérieusement le sort de Pauline et celui de Wendy,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100937,"au vétérinaire de soigner également Pauline ! Plus tard ,",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100952,journées à la maison . Pauline ne parvenait pas à,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100965,de plomb qui pesait sur elle . Elle parlait doucement,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100967,qui pesait sur elle . Elle parlait doucement et souriait,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100971,. Elle parlait doucement et souriait d' un sourire triste,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100981,. On aurait dit qu' elle se sentait coupable de,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100986,elle se sentait coupable de son insurmontable lassitude et que,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_100991,son insurmontable lassitude et que son sourire nous était une,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101003,excuse perpétuellement adressée . Je l' ai prise dans mes,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101017,"descendu l' escalier , je l' ai installée dans sa",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101021,je l' ai installée dans sa poussette . Nous avons,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101032,le chemin des jardins où elle jouait avant la maladie,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101110,. J' ai proposé à Pauline d' aller jouer un,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101117,aller jouer un peu . Elle m' a dit qu',Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101122,Elle m' a dit qu' elle n' en avait pas,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101131,"pas vraiment envie , qu' elle jouerait une autre fois",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101141,"peut - être , qu' elle était bien dans la",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101149,"dans la poussette , qu' elle voulait juste que nous",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101173,devions faire des courses pour Wendy . Nous avons remonté,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101191,le Monoprix . C' est Pauline qui devait choisir et,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101192,Monoprix . C' est Pauline qui devait choisir et payer,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101199,choisir et payer ce dont son petit animal avait besoin,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101205,petit animal avait besoin . Elle a voulu se lever,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101236,parents dans les magasins . Elle poussait lentement le chariot,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101253,"s' écartaient automatiquement , je la suivais à quelques mètres",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101265,poussette vide . Je revois Pauline en cet instant avec,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101278,"d' une image rêvée . Elle était de dos ,",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101293,"la barre du caddie , elle portait son coupe -",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101295,"du caddie , elle portait son coupe - vent orange",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101312,"bout de vingt mètres , elle s' est retournée et",Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101318,s' est retournée et m' a dit qu' elle était,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101321,et m' a dit qu' elle était trop fatiguée pour,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101331,aller plus loin . Je l' ai installée à nouveau,Female
Forest-Philippe_L-Enfant-eternel_<Je-5120>_101385,la grand - mère de Pauline faisait ses courses également,Female
