,text_surronding,Gender,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41173,". D' ailleurs , à vous comme à votre mère",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41176,", à vous comme à votre mère , ne faudra",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41189,"il pas un appui ? Chère Ève , épousez -",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41193,"? Chère Ève , épousez - moi par amour pour",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41202,pour Lucien . Plus tard vous m' aimerez peut -,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41203,Lucien . Plus tard vous m' aimerez peut - être,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41213,en voyant les efforts que je ferai pour le servir,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41220,pour le servir et pour vous rendre heureuse . Nous,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41285,amour se faisait petit . Vous êtes riche et je,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41289,. Vous êtes riche et je suis pauvre . Il,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41307,une semblable difficulté . – Vous ne m' aimez donc,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41309,difficulté . – Vous ne m' aimez donc pas assez,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41323,David atterré . – Mais votre père s' opposerait peut,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41337,"Bien , bien , répondit David , s' il n'",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41345,"il n' y a que mon père à consulter ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41350,"mon père à consulter , vous serez ma femme .",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41352,"à consulter , vous serez ma femme . Ève ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41355,"vous serez ma femme . Ève , ma chère Ève",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41357,"ma femme . Ève , ma chère Ève ! vous",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41361,", ma chère Ève ! vous venez de me rendre",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41364,Ève ! vous venez de me rendre la vie bien,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41376,"porter en un moment . J' avais , hélas !",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41388,bien lourd de sentiments que je ne pouvais ni ne,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41397,ne savais exprimer . Dites - moi seulement que vous,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41401,Dites - moi seulement que vous m' aimez un peu,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41402,"- moi seulement que vous m' aimez un peu ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41407,"m' aimez un peu , je prendrai le courage nécessaire",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41413,prendrai le courage nécessaire pour vous parler de tout le,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41425,"– En vérité , dit - elle , vous me",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41428,", dit - elle , vous me rendez toute honteuse",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41429,"dit - elle , vous me rendez toute honteuse ;",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41443,"nous confions nos sentiments , je vous dirai que je",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41444,"confions nos sentiments , je vous dirai que je n'",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41447,", je vous dirai que je n' ai jamais de",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41452,je n' ai jamais de ma vie pensé à un,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41460,à un autre qu' à vous . J' ai vu,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41462,autre qu' à vous . J' ai vu en vous,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41466,. J' ai vu en vous un de ces hommes,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41482,"fière d' appartenir , et je n' osais espérer pour",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41487,"je n' osais espérer pour moi , pauvre ouvrière sans",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41489,"osais espérer pour moi , pauvre ouvrière sans avenir ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41505,"Assez , assez , dit - il en s' asseyant",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41538,espace . – Qu' avez - vous ? lui dit,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41541,Qu' avez - vous ? lui dit - elle en,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41543,- vous ? lui dit - elle en exprimant pour,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41560,que les femmes éprouvent pour un être qui leur appartient,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41562,femmes éprouvent pour un être qui leur appartient . –,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41573,"que de bon , dit - il . En apercevant",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41596,est accablée . Pourquoi suis - je le plus heureux,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41603,le plus heureux ? dit - il avec une expression,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41612,expression de mélancolie . Mais je le sais . Ève,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41616,Mais je le sais . Ève regarda David d' un,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41631,"voulait une explication . – Chère Ève , je reçois",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41634,". – Chère Ève , je reçois plus que je",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41638,", je reçois plus que je ne donne . Aussi",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41643,je ne donne . Aussi vous aimerai - je toujours,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41645,donne . Aussi vous aimerai - je toujours mieux que,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41650,"- je toujours mieux que vous ne m' aimerez ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41652,"toujours mieux que vous ne m' aimerez , parce que",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41657,"m' aimerez , parce que j' ai plus de raisons",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41663,ai plus de raisons de vous aimer : vous êtes,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41666,raisons de vous aimer : vous êtes un ange et,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41671,vous êtes un ange et je suis un homme .,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41677,suis un homme . – Je ne suis pas si,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41689,répondit Ève en souriant . Je vous aime bien …,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41690,Ève en souriant . Je vous aime bien … –,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41697,bien … – Autant que vous aimez Lucien ? dit,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41702,vous aimez Lucien ? dit - il en l' interrompant,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41705,? dit - il en l' interrompant . – Assez,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41712,". – Assez pour être votre femme , pour me",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41716,"être votre femme , pour me consacrer à vous et",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41719,", pour me consacrer à vous et tâcher de ne",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41724,vous et tâcher de ne vous donner aucune peine dans,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41743,que nous mènerons . – Vous êtes - vous aperçue,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41745,"mènerons . – Vous êtes - vous aperçue , chère",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41749,"êtes - vous aperçue , chère Ève , que je",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41753,", chère Ève , que je vous ai aimée depuis",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41754,"chère Ève , que je vous ai aimée depuis le",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41762,depuis le premier jour où je vous ai vue ?–,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41763,le premier jour où je vous ai vue ?– Quelle,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41781,aimée ? demanda - t - elle . – Laissez,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41785,t - elle . – Laissez - moi donc dissiper,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41786,- elle . – Laissez - moi donc dissiper les,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41793,donc dissiper les scrupules que vous cause ma prétendue fortune,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41795,les scrupules que vous cause ma prétendue fortune . Je,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41799,"cause ma prétendue fortune . Je suis pauvre , ma",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41803,". Je suis pauvre , ma chère Ève . Oui",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41809,"chère Ève . Oui , mon père a pris plaisir",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41815,"père a pris plaisir à me ruiner , il a",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41822,", il a spéculé sur mon travail , il a",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41838,"avec leurs obligés . Si je deviens riche , ce",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41845,"riche , ce sera par vous . Ceci n' est",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41854,"est pas une parole de l' amant , mais une",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41860,"amant , mais une réflexion du penseur . Je dois",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41863,une réflexion du penseur . Je dois vous faire connaître,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41865,du penseur . Je dois vous faire connaître mes défauts,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41868,"Je dois vous faire connaître mes défauts , et ils",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41884,"de faire sa fortune . Mon caractère , mes habitudes",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41887,"fortune . Mon caractère , mes habitudes , les occupations",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41893,"habitudes , les occupations qui me plaisent me rendent impropre",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41895,les occupations qui me plaisent me rendent impropre à tout,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41923,de quelque industrie . Si je suis capable de découvrir,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41933,"une mine d' or , je suis singulièrement inhabile à",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41942,"à l' exploiter . Mais vous , qui , par",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41944,"exploiter . Mais vous , qui , par amour pour",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41949,"qui , par amour pour votre frère , êtes descendue",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41959,"aux plus petits détails , qui avez le génie de",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41974,"attention du vrai commerçant , vous récolterez la moisson que",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41979,vous récolterez la moisson que j' aurai semée . Notre,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41991,car depuis long - temps je me suis mis au,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_41998,"suis mis au sein de votre famille , m' oppresse",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42001,"sein de votre famille , m' oppresse si fort le",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42008,si fort le cœur que j' ai consumé mes jours,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42011,cœur que j' ai consumé mes jours et mes nuits,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42014,ai consumé mes jours et mes nuits à chercher une,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42023,une occasion de fortune . Mes connaissances en chimie et,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42034,observation des besoins du commerce m' ont mis sur la,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42045,d' une découverte lucrative . Je ne puis vous en,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42048,lucrative . Je ne puis vous en rien dire encore,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42054,"en rien dire encore , je prévois trop de lenteurs",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42070,peut - être  mais je finirai par trouver les,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42081,industriels à la piste desquels je suis depuis quelques jours,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42095,procureront une grande fortune . Je n' ai rien dit,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42112,"gâterait tout , il convertirait mes espérances en réalités ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42130,peut - être . Ainsi gardez - moi le secret,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42131,- être . Ainsi gardez - moi le secret .,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42136,- moi le secret . Votre douce et chère compagnie,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42143,et chère compagnie pourra seule me consoler pendant ces longues,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42154,", comme le désir de vous enrichir vous et Lucien",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42156,le désir de vous enrichir vous et Lucien me donnera,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42159,vous enrichir vous et Lucien me donnera de la constance,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42170,"de la ténacité … – J' avais deviné aussi ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42175,"J' avais deviné aussi , lui dit Ève en l'",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42179,", lui dit Ève en l' interrompant , que vous",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42183,"en l' interrompant , que vous étiez un de ces",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42195,"il faut , comme à mon pauvre père , une",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42208,soin d' eux . – Vous m' aimez donc ?,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42209,d' eux . – Vous m' aimez donc ? Ah,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42216,donc ? Ah ! dites - le - moi sans,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42218,"Ah ! dites - le - moi sans crainte ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42224,"moi sans crainte , à moi qui ai vu dans",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42225,"sans crainte , à moi qui ai vu dans votre",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42229,moi qui ai vu dans votre nom un symbole de,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42234,votre nom un symbole de mon amour . Ève était,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42237,symbole de mon amour . Ève était la seule femme,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42262,Adam l' est moralement pour moi . Mon Dieu !,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42267,moi . Mon Dieu ! m' aimez - vous ?–,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42269,"Mon Dieu ! m' aimez - vous ?– Oui ,",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42275,"vous ?– Oui , dit - elle en allongeant cette",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42286,syllabe par la manière dont elle la prononça comme pour,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42295,pour peindre l' étendue de ses sentiments . – Hé,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42309, laissez - moi m' emparer de,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42333,d' une papeterie . Laissez - moi respirer l' air,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42372,tremblent sur les eaux ,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42373,sur les eaux ,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42381,emparer de cette nature où je crois voir mon bonheur,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42384,nature où je crois voir mon bonheur écrit en toute,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42393,"toute chose , et qui m' apparaît pour la première",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42410,"l' amour , embellie par vous . Ève , chère",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42412,", embellie par vous . Ève , chère aimée !",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42414,"par vous . Ève , chère aimée ! voici le",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42428,sans mélange que le sort m' ait donné ! Je,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42432,sort m' ait donné ! Je doute que Lucien soit,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42440,Lucien soit aussi heureux que moi !En sentant la main,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42446,!En sentant la main d' Ève humide et tremblante dans,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42454,"tremblante dans la sienne , David y laissa tomber une",Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42464,larme . – Ne puis - je savoir le secret,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42479,une voix câline . – Vous y avez des droits,Neutral,
Balzac-Honore-de_Illusions-perdues_<Ève et David-2286>_42486,"avez des droits , car votre père s' est occupé",Neutral,
